                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.4546,                 2.5662,                  5.028,                 3.4686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1455,                 1.6366,                 4.0335,                 2.8347,               0.067111,             3.2922e-05,             3.2922e-05
                      1,                 4.0114,                 1.8022,                 4.5175,                 2.9083,             0.00014434,               0.002193,             7.9476e-05,             3.0371e-05,             0.00014434,               0.002193,             7.6122e-05,             1.1272e-05,                 4.1316,                 1.6227,                 4.2426,                 2.6835,               0.033808,             6.2976e-05,             6.2976e-05
                      2,                  4.087,                 1.6506,                 4.3963,                 2.8392,                0.12802,               0.002193,             0.00057063,              0.0001865,             0.00020049,               0.025219,             0.00021019,             4.9614e-05,                 4.0579,                 1.7961,                 4.1929,                 2.7017,             0.00050125,             8.9729e-05,             8.9729e-05
                      3,                 4.0612,                 1.6052,                 4.2838,                 2.7941,             0.00052256,               0.064484,              0.0004876,             0.00011315,             0.00024697,               0.036915,             0.00017158,             3.9117e-05,                 4.0026,                 3.4113,                 44.718,                  2.835,              8.515e-05,              8.515e-05,              8.515e-05
                      4,                 4.0452,                  1.577,                 4.1356,                 2.7901,              0.0011385,               0.013158,               0.001284,             0.00038312,              0.0005765,               0.060829,             0.00058944,             0.00011912,                 4.0146,                 1.6635,                 6.8435,                 2.6935,              8.515e-05,              8.515e-05,              8.515e-05
                      5,                 3.9907,                 1.5412,                 4.0056,                 2.7342,              0.0010063,                 0.1017,              0.0018774,             0.00057666,             0.00065432,               0.076911,              0.0010446,              0.0001861,                 4.0559,                 1.8831,                 5.0713,                 2.6952,               8.02e-05,               8.02e-05,               8.02e-05
                      6,                 3.9851,                 1.5214,                 3.9942,                 2.7176,             0.00092214,               0.092285,               0.001716,             0.00042039,             0.00059156,               0.072036,             0.00081418,             0.00021169,                 4.0502,                 1.6004,                 4.1024,                 2.6523,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                 3.8957,                 1.4884,                 3.8926,                 2.6564,              0.0013038,                0.11342,              0.0020619,             0.00058126,             0.00099282,                0.10706,              0.0013596,              0.0002746,                 4.0631,                 1.5865,                 9.7594,                 2.6307,               7.03e-05,               7.03e-05,               7.03e-05
                      8,                 3.8855,                 1.4549,                 3.8351,                 2.6254,                0.13315,               0.060464,              0.0039218,              0.0012568,                0.12693,               0.031067,              0.0016655,             0.00051512,                 4.0591,                 1.5838,                 3.7157,                 2.5901,              6.535e-05,              6.535e-05,              6.535e-05
                      9,                  3.789,                 1.4299,                 3.7312,                 2.5789,                 0.1355,               0.043285,              0.0038437,              0.0010112,              0.0037799,                0.13826,              0.0037454,             0.00084626,                  4.045,                 1.5981,                 4.6974,                 2.5739,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                 3.7669,                 1.4029,                 3.6873,                 2.5608,                0.25754,              0.0032895,              0.0052901,              0.0012881,              0.0029348,                0.18641,              0.0041262,              0.0011634,                 4.0123,                  1.576,                 3.6089,                 2.5353,              5.545e-05,              5.545e-05,              5.545e-05
                     11,                 3.7081,                 1.3772,                 3.7097,                 2.5065,                0.13848,                0.02317,              0.0044952,               0.001499,              0.0058745,                0.12237,              0.0063972,              0.0018957,                 3.9835,                  1.544,                 3.6425,                  2.477,               5.05e-05,               5.05e-05,               5.05e-05
                     12,                 3.6387,                 1.3625,                 3.5094,                 2.4597,                0.15833,               0.032832,               0.011307,              0.0028584,                0.20013,               0.032916,               0.011644,              0.0037216,                 3.9756,                 1.5482,                 3.5805,                 2.4499,              4.555e-05,              4.555e-05,              4.555e-05
                     13,                 3.5894,                 1.3447,                 3.4781,                 2.4079,                0.23624,               0.019304,               0.013409,              0.0043418,                0.18209,               0.021364,                 0.0182,              0.0050963,                 3.9549,                 1.5528,                 3.6169,                  2.398,               4.06e-05,               4.06e-05,               4.06e-05
                     14,                  3.562,                 1.3178,                 3.3989,                 2.3593,                0.17878,               0.020928,               0.017668,              0.0047651,                 0.1988,               0.030708,               0.025907,              0.0071837,                 3.9468,                  1.558,                 3.7749,                 2.3717,              3.565e-05,              3.565e-05,              3.565e-05
                     15,                  3.509,                 1.2962,                 3.3032,                 2.3164,                0.34252,               0.020267,               0.019802,                0.00528,                0.37344,               0.026283,               0.027714,              0.0075245,                 3.9346,                 1.5615,                 4.2894,                 2.3522,               3.07e-05,               3.07e-05,               3.07e-05
                     16,                 3.4845,                 1.2729,                 3.2521,                 2.2848,                0.53182,               0.018087,               0.022088,              0.0068988,                 0.1934,               0.050058,               0.031652,               0.008846,                 3.9149,                 1.5544,                 3.6283,                 2.3179,              2.575e-05,              2.575e-05,              2.575e-05
                     17,                 3.4254,                 1.2699,                 3.1589,                 2.2462,                0.16956,               0.029415,               0.021585,               0.006426,                0.20567,               0.047865,               0.031909,               0.010978,                 3.8894,                 1.6246,                 3.5283,                  2.303,               2.08e-05,               2.08e-05,               2.08e-05
