                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.2711,                 2.2556,                 5.7124,                 3.2563,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5644,                 1.3762,                 4.3622,                 2.6597,               0.066906,             3.3128e-05,             3.3128e-05
                      1,                 4.0281,                 1.5103,                  4.807,                 2.6208,              0.0022253,               0.032844,              0.0014061,             0.00044693,              0.0017177,               0.017857,             0.00095704,             0.00025408,                 4.0645,                 1.4139,                 4.0181,                  2.354,               0.033602,             6.3171e-05,             6.3171e-05
                      2,                 4.0161,                 1.4633,                 4.9405,                 2.4496,              0.0023838,               0.049449,              0.0025102,             0.00073345,              0.0022801,               0.043201,               0.002568,             0.00066546,                 3.9229,                 1.3887,                 3.8977,                 2.2438,             0.00029568,             8.9915e-05,             8.9915e-05
                      3,                 3.9658,                 1.4084,                  4.475,                 2.4388,              0.0022962,               0.048917,              0.0019271,             0.00059729,               0.002206,               0.040347,              0.0021211,             0.00051125,                 3.9088,                 1.3887,                 3.8347,                 2.2089,              8.515e-05,              8.515e-05,              8.515e-05
                      4,                 3.8847,                 1.4213,                 4.4671,                 2.4049,               0.014002,               0.061001,              0.0072022,              0.0020277,                0.16912,                0.01669,              0.0074116,              0.0021777,                 3.8223,                 1.3386,                 3.6765,                 2.1661,              8.515e-05,              8.515e-05,              8.515e-05
                      5,                 3.8714,                 1.4021,                 4.6582,                 2.3491,              0.0087915,               0.089079,              0.0098128,              0.0027954,              0.0045715,                0.11491,              0.0093713,              0.0026596,                 3.6982,                 1.3316,                  3.627,                 2.1312,               8.02e-05,               8.02e-05,               8.02e-05
                      6,                 3.8018,                 1.4155,                 4.3146,                  2.326,              0.0078336,                0.16187,              0.0096669,               0.003101,              0.0067411,                0.11969,              0.0082744,              0.0028368,                 3.5394,                 1.3458,                 5.2754,                 2.0987,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                 3.6961,                 1.3774,                 4.2999,                 2.2963,              0.0090138,                0.16931,               0.017454,              0.0060074,              0.0086646,                0.14307,               0.017012,              0.0064088,                    3.4,                 1.2672,                 3.4532,                 1.9976,               7.03e-05,               7.03e-05,               7.03e-05
                      8,                 3.6257,                 1.3594,                 4.2401,                 2.2618,                0.42645,               0.057773,               0.032724,               0.010998,                0.42271,               0.045598,               0.029806,               0.010662,                  3.238,                 1.2319,                 3.2815,                 1.9606,              6.535e-05,              6.535e-05,              6.535e-05
                      9,                 3.5987,                 1.3607,                 4.2922,                 2.2432,                0.35016,               0.047796,               0.039419,               0.014141,                0.33797,               0.036433,                0.03569,               0.013704,                 3.1326,                 1.1979,                 3.1504,                 1.9087,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                 3.4573,                  1.286,                 4.0067,                 2.1366,                0.31576,               0.058545,                0.03858,               0.013716,                0.31844,                0.05922,               0.036322,               0.013066,                 3.0761,                 1.1794,                 3.1157,                 1.8779,              5.545e-05,              5.545e-05,              5.545e-05
                     11,                  3.318,                 1.2714,                 3.8902,                 2.1046,                0.46937,               0.081322,               0.052804,               0.019599,                0.44552,                0.07324,               0.047009,               0.018354,                 2.9696,                 1.1589,                 3.0287,                 1.8272,               5.05e-05,               5.05e-05,               5.05e-05
                     12,                 3.3188,                 1.2797,                 3.8987,                 2.1295,                0.46207,               0.082802,               0.063773,               0.025496,                0.46731,               0.080164,               0.063397,               0.026521,                 2.9179,                 1.1596,                 2.9194,                 1.7956,              4.555e-05,              4.555e-05,              4.555e-05
                     13,                 3.3103,                 1.2765,                 3.8926,                 2.0857,                 0.3298,               0.082419,               0.055883,               0.023227,                0.32969,               0.083308,               0.055747,               0.023509,                  2.871,                 1.2886,                 3.0611,                 1.7796,               4.06e-05,               4.06e-05,               4.06e-05
                     14,                 3.3195,                 1.2837,                 3.8854,                 2.0406,                0.32748,                0.10319,               0.074125,               0.032426,                0.32839,                0.10332,               0.073723,               0.032202,                 2.7889,                 1.1281,                 2.8639,                  1.736,              3.565e-05,              3.565e-05,              3.565e-05
                     15,                 3.2298,                   1.26,                 3.7561,                 2.0281,                 0.3707,                0.11283,               0.090336,                0.03615,                0.35889,                0.10915,               0.083969,               0.036044,                 2.7243,                 1.1317,                 2.7499,                 1.6997,               3.07e-05,               3.07e-05,               3.07e-05
